train_loss,validation_loss,test_loss,S1_loss,S2_loss,S3_loss
0.008847858,0.018915903,0.017887145,0.020022793,0.012338417,0.02130023
0.011018871,0.013383052,0.012396075,0.018986853,0.012041623,0.006159747
0.008037613,0.017763568,0.018460162,0.018456984,0.012419129,0.024504378
0.009922448,0.01711453,0.017537449,0.018266123,0.012377548,0.021968674
0.00942807,0.012536116,0.011505211,0.01828146,0.011562267,0.004671907
0.007290867,0.01491905,0.013888407,0.01877148,0.011100173,0.01179357
0.010019673,0.012611256,0.011690252,0.0188554,0.011070604,0.0051447544
0.007959922,0.014094063,0.014327863,0.019602139,0.011552777,0.011828675
0.00805755,0.015627822,0.01665962,0.020562062,0.01142972,0.017987076
0.008549913,0.01207183,0.01225264,0.021008097,0.010380477,0.0053693466
0.007208822,0.013020756,0.012518885,0.021657234,0.009650191,0.006249226
0.008193788,0.012693001,0.0120413685,0.02163109,0.009458214,0.0050348006
0.007616895,0.012090584,0.012211672,0.020431926,0.0097630145,0.0064400746
0.007140694,0.014069558,0.015055709,0.019474972,0.010112306,0.01557985
0.007787416,0.011515095,0.0115166595,0.01898896,0.00957873,0.005982288
0.006878187,0.011237136,0.010676613,0.018756742,0.009094972,0.0041781226
0.006830096,0.011214083,0.010706629,0.018326735,0.009151177,0.0046419743
0.0074055437,0.0108195795,0.010687891,0.018047234,0.009282383,0.004734058
0.0061801965,0.012473872,0.012710648,0.017802846,0.009170642,0.011158454
0.007021876,0.010676129,0.0104032345,0.017773792,0.008415913,0.0050199972
0.0065181036,0.010566854,0.0099835675,0.018269552,0.0076540723,0.0040270775
0.006505379,0.010129679,0.009721819,0.018182041,0.007339047,0.0036443705
0.0063405544,0.009835549,0.009932372,0.017816287,0.007344654,0.0046361745
0.005969764,0.010665084,0.01121534,0.01780293,0.007265215,0.008577879
0.006318199,0.009135732,0.0093705375,0.017985908,0.0067666043,0.0033591017
0.0056928634,0.009166419,0.009167444,0.018306391,0.006178481,0.0030174588
0.005978042,0.008709118,0.00886488,0.018226158,0.005968068,0.0024004157
0.0056758006,0.0090829255,0.009741334,0.017988615,0.006021662,0.005213725
0.0055638757,0.00922499,0.0102065895,0.017906588,0.005894202,0.00681898
0.005515316,0.008114716,0.00881003,0.017755358,0.00583277,0.0028419653
0.0052313562,0.008128778,0.0085944105,0.01773972,0.0053030835,0.0027404286
0.0054870984,0.008024744,0.00854143,0.017316021,0.0050678025,0.0032404682
0.00516088,0.008497047,0.009462823,0.017373694,0.0051008062,0.005913969
0.0048546516,0.0077535463,0.008698059,0.017402636,0.0048488975,0.0038426446
0.0046136184,0.007504751,0.008137282,0.017286316,0.00478184,0.0023436935
0.004899532,0.007390612,0.008062287,0.01721226,0.004566706,0.0024078998
0.004600268,0.007699392,0.008780054,0.016963039,0.0046345172,0.0047426075
0.004673254,0.007618658,0.00869287,0.0166923,0.0046946467,0.004691665
0.0046669585,0.007229647,0.00804237,0.016452318,0.005022798,0.0026519925
0.004391425,0.0071603954,0.007978352,0.016596494,0.0048901327,0.002448427
0.004469726,0.0072465967,0.008048285,0.01645341,0.0046138316,0.0030776116
0.004220297,0.0074886577,0.008331624,0.016193748,0.0046412023,0.0041599227
0.0042406744,0.0072572893,0.007923426,0.015884936,0.0047047515,0.0031805946
0.004412845,0.0072345138,0.0076858443,0.015897343,0.0047176513,0.0024425357
0.004390429,0.00705375,0.00777101,0.015422667,0.0046294127,0.0032609538
0.004043522,0.0073213186,0.008426128,0.015511339,0.0048071393,0.0049599065
0.004189145,0.0066953464,0.007592805,0.015510588,0.004685842,0.002581988
0.004007185,0.006673722,0.00741952,0.015222876,0.0047773505,0.002258333
0.0040939753,0.006715219,0.0076159555,0.015011495,0.0044693155,0.0033670561
0.0039784918,0.007064075,0.008069124,0.014748519,0.004457559,0.0050012916
0.0038171383,0.006522432,0.007204218,0.014407447,0.0044268407,0.0027783643
0.0036982624,0.0064106486,0.006954622,0.014194838,0.004268032,0.0024009943
0.0041456576,0.00636174,0.0071863155,0.014267795,0.0041071926,0.0031839598
0.0038203883,0.006450646,0.0076541984,0.014827627,0.0041313823,0.004003586
0.003898848,0.005995061,0.0070662005,0.014731497,0.0042616795,0.0022054252
0.003756358,0.005970463,0.0069880257,0.014808464,0.004042604,0.0021130103
0.0037140267,0.0062651625,0.0074217906,0.014943743,0.003967675,0.003353954
0.0036622256,0.0062932875,0.0075401114,0.01480468,0.0040210187,0.003794636
0.0037632722,0.0057849954,0.0070549157,0.014723196,0.003956754,0.0024847975
0.003463612,0.0056179515,0.006749943,0.014408669,0.003882273,0.001958884
0.0038104486,0.0059046736,0.0072308513,0.0144559685,0.0038075044,0.0034290839
0.003495564,0.005856414,0.0070148045,0.013951445,0.003681321,0.0034116467
0.0034241446,0.0055799135,0.0064089415,0.013505204,0.003696468,0.0020251544
0.0035251754,0.005601916,0.006537268,0.013626746,0.0036670514,0.0023180055
0.0034051414,0.0058974507,0.0072447686,0.01408063,0.0036601112,0.003993564
0.0037072229,0.005432696,0.0067043025,0.014162226,0.0035131758,0.002437506
0.0032086775,0.0053392234,0.006577306,0.014241341,0.0037006722,0.0017899085
0.0033831212,0.0053592254,0.0066549405,0.013763113,0.003499285,0.0027024236
0.0031538995,0.005576105,0.006836677,0.013309103,0.0033847326,0.0038161976
0.0031750242,0.0051950156,0.0061343634,0.012813223,0.0033132713,0.002276597
0.003214242,0.0051154657,0.0059559345,0.012632141,0.0033087186,0.001926945
0.0030825662,0.005234499,0.006131745,0.012334737,0.0032214094,0.0028390894
0.0029138934,0.005258869,0.00629841,0.012229924,0.0032324165,0.0034328892
0.003077735,0.0048477836,0.005992397,0.012539937,0.00335104,0.0020862138
0.0031074008,0.0046764533,0.005821329,0.012566281,0.0031088246,0.0017888828
0.0030846456,0.004901474,0.006166382,0.012616602,0.0030756723,0.0028068724
0.0028486156,0.004901962,0.006087702,0.0124058975,0.0030039519,0.0028532573
0.003149546,0.0047003045,0.005878483,0.012511974,0.0029794634,0.0021440103
0.0027695678,0.0046486035,0.005906428,0.012779211,0.0029164937,0.0020235823
0.0027602257,0.004604757,0.0058293147,0.012503956,0.0028042728,0.0021797155
0.002653952,0.0047830427,0.0059834966,0.012255802,0.0027539667,0.0029407206
0.002814775,0.0046268967,0.005769032,0.011786309,0.0027554203,0.0027653652
0.0026242589,0.004480965,0.0057552275,0.012075625,0.0031099808,0.0020800775
0.002667177,0.0044429568,0.0055976156,0.012005962,0.0026641064,0.0021227782
0.002902952,0.004400452,0.0053055184,0.011055827,0.0026350152,0.0022257112
0.002756186,0.004520305,0.00532867,0.010956117,0.0028829456,0.0021469495
0.0028430934,0.004464298,0.005528685,0.01105655,0.0030657188,0.002463786
0.0026393505,0.0044430755,0.0057431674,0.012269113,0.002591976,0.0023684138
0.0025957164,0.0041499236,0.0050699622,0.010797446,0.002750353,0.0016620874
0.0026163582,0.00432741,0.005328771,0.010438908,0.0031385361,0.0024088693
0.0024783036,0.0046066586,0.0056340997,0.010316112,0.0030948448,0.0034913444
0.0027296664,0.0039837286,0.0048646433,0.010276223,0.002569845,0.0017478633
0.0026225818,0.0041221958,0.005446057,0.012414107,0.00239195,0.0015321134
0.0026708003,0.004320101,0.00587168,0.012151661,0.0027996844,0.0026636957
0.002488559,0.004429857,0.0055754073,0.011160429,0.002331226,0.0032345671
0.002480253,0.0038423925,0.004852012,0.009886925,0.00256569,0.00210342
0.0022876263,0.005064086,0.006320661,0.013358947,0.0033269404,0.0022760942
0.0028243097,0.003940978,0.0048675067,0.010158063,0.0025827452,0.0018617118
0.002400462,0.0041464097,0.005391717,0.0119347405,0.0022623127,0.0019780984
0.0023430644,0.0043966933,0.0060123676,0.012153447,0.0036817559,0.0022018997
0.002519489,0.0037409712,0.0049215453,0.010089511,0.0022616591,0.002413465
0.0023408097,0.003757766,0.0045857974,0.009528551,0.0025156615,0.0017131806
0.002218456,0.0040216446,0.0047362377,0.009167773,0.0025324451,0.0025084934
0.0023043498,0.004309573,0.005061879,0.009261033,0.0025379779,0.0033866263
0.0021573056,0.0035539665,0.0045567006,0.010109211,0.0021030712,0.00145782
0.002154033,0.003617472,0.005040055,0.011616967,0.0021087206,0.0013944785
0.0022161822,0.0036567284,0.0050449995,0.0103465915,0.0021354768,0.002652931
0.0020589775,0.0038821364,0.0050674686,0.009157071,0.0028327375,0.0032125975
0.0021061976,0.0035555416,0.0043545663,0.008987112,0.0021333941,0.0019431927
0.0019643279,0.0035602364,0.004274454,0.008816362,0.0022884288,0.001718569
0.0021384428,0.0038735024,0.0050878865,0.010466788,0.0022133887,0.0025834844
0.002027549,0.0034690276,0.004705225,0.010111464,0.002239054,0.0017651574
0.0021153258,0.0033113104,0.00443196,0.0089990655,0.0018919043,0.002404911
0.0020722684,0.003936214,0.0051365057,0.010578012,0.0022152914,0.0026162136
0.001982996,0.003198335,0.003957342,0.008508674,0.0018395212,0.0015238321
0.0018828207,0.0034244107,0.004210614,0.008762341,0.0018289068,0.0020405955
0.002025017,0.0037393211,0.0046814163,0.009077587,0.0023596704,0.002606991
0.0019512988,0.003135347,0.004067149,0.008643373,0.0018261385,0.0017319348
0.0017761629,0.002970896,0.0039197863,0.0080766,0.0018104219,0.0018723379
0.0019054811,0.003298512,0.0042392863,0.007939229,0.0017682898,0.0030103414
0.001838372,0.003741114,0.00473721,0.009176774,0.0032094028,0.0018254529
0.001903524,0.0031129245,0.0037864067,0.008023152,0.0017762004,0.001559868
0.0018744557,0.0033298125,0.004126277,0.008277435,0.0017568384,0.0023445569
0.0017554634,0.0030313148,0.003825297,0.007433908,0.0021480422,0.0018939408
0.0018081819,0.00322865,0.0040889494,0.007506073,0.0017458407,0.0030149342
0.0017432463,0.0032261133,0.004116732,0.008480199,0.0018280741,0.002041925
0.0017335628,0.002825687,0.003429918,0.007297865,0.0016552674,0.0013366223
0.0017025247,0.0029882553,0.003723739,0.007241375,0.0017436818,0.0021861594
0.0015849108,0.0033042657,0.00419484,0.0073205368,0.0021813158,0.0030826675
0.0017485277,0.0026375307,0.0032894444,0.006751576,0.0015231144,0.0015936423
0.00176528,0.00304281,0.003786938,0.007541405,0.0015415937,0.002277817
0.0015474847,0.0031618099,0.0039369566,0.0071278107,0.0016630865,0.0030199725
0.0014921211,0.00286076,0.0034832847,0.007507894,0.0015499771,0.0013919828
0.0017375543,0.0031047983,0.0037775508,0.0068144538,0.0017076368,0.0028105632
0.0015246082,0.002847607,0.003508231,0.007191556,0.0015160197,0.0018171177
0.0016039768,0.0027138493,0.0034677882,0.007181317,0.001617854,0.0016041937
0.0017750375,0.004025175,0.0054017343,0.009944413,0.0033368715,0.0029239194
0.0019391143,0.0027601111,0.0035499437,0.0062024086,0.0019294241,0.002517998
0.0017940658,0.0026399193,0.0033534484,0.006698033,0.0019028932,0.0014594193
0.001673899,0.002968915,0.0037900114,0.0058200634,0.0016005862,0.0039493847
0.0015388182,0.0025107951,0.0031769199,0.005761589,0.0016711463,0.0020980246
0.0013592939,0.0023929246,0.0030461494,0.0063030403,0.0015525573,0.0012828516
0.0014903133,0.0029254248,0.0037908757,0.006542879,0.0017632262,0.0030665214
